recinto,dia,hora_inicio,hora_fin,entidad,monitor_detalle,espacio_sugerido,tipo_sugerido
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,09:00,10:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,10:00,11:00,Escuela E-1 (09:45 A 11:15),,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,10:00,11:00,Newcom Club Natales,Monitora: Eva Contreras,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,10:00,11:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,10:00,11:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,11:00,12:00,Escuela E-1 (09:45 A 11:15),,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,11:00,12:00,Newcom Club Natales,Monitora: Eva Contreras,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,11:00,12:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,11:00,12:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,12:00,13:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,12:00,13:00,Voleibol Jovenes Club Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,13:00,14:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,13:00,14:00,Voleibol Jovenes Club Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,14:00,15:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,14:00,15:00,Voleibol Club Deportivo Mineros,Monitor: Daniel Ojeda Adultas Damas,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,15:00,16:00,Club De Patinaje Natales Sobre Ruedas,Monitora,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,15:00,16:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,15:00,16:00,Voleibol Club Deportivo Mineros,Monitor: Daniel Ojeda Adultos Varones,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,16:00,17:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,16:00,17:00,Voleibol Infantil Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,16:00,17:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,16:00,17:00,Club Esmeralda Basquetbol,Monitor: Ariel Velasquez Edad 10 A 12 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,16:00,17:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,16:00,17:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,16:00,17:00,Club De Basquetbol Senior,Profesor:Manuel Cardenas,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,17:00,18:00,Club Esmeralda Basquetbol,"Monitor: Jose Maria Urabayen Edad 9,10,11,12",,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,17:00,18:00,Voleibol Infantil Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,17:00,18:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,17:00,18:00,Club Esmeralda Basquetbol,Monitor: Jose Maria Urabayen Edad 10 A 12 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,17:00,18:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,17:00,18:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,17:00,18:00,Los Pumas,Profesor: Rodolfo Navarrete Edad De 7 A 11 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,18:00,19:00,Club Esmeralda Basquetbol,Monitor: Jose Maria Urabayen,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,18:00,19:00,Cesfam,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,18:00,19:00,Voleibol Jovenes Club Natales,Profesor:N Elias Muñoz,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,18:00,19:00,Club Esmeralda Basquetbol,Monitor: Jose Maria Urabayen Edad 10 A 12 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,18:00,19:00,Club Patinaje Iteria,Monitoria : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,18:00,19:00,Pumas Basquetbol,Profesor: Rodolfo Navarrete Edad De 4 A 11 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,18:00,19:00,Los Pumas,Profesor: Rodolfo Navarrete Edad De 7 A 11 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,19:00,20:00,Club Patinaje Iteria,Monitoria : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,19:00,20:00,Newcom,Profesor: Raul Lorca,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,19:00,20:00,Club Patinaje Iteria,Monitoria : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,19:00,20:00,Asociacion De Basquetbol De Ultima Esperanza,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,19:00,20:00,Club Patinaje Iteria,Monitoria : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,19:00,20:00,Los Pumas Basquetbol,Profesor: Rodolfo Navarrete Edad De 12 A 14 Años,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,19:00,20:00,Newcom,Profesor: Raul Lorca,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,20:00,21:00,Club Patinaje Iteria,Monitoria : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,20:00,21:00,Newcom,Profesor: Raul Lorca,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,20:00,21:00,Club Deportivo Bories Basquetbol,Monitor: Daniel Ortega Adultos,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,20:00,21:00,Asociacion De Basquetbol De Ultima Esperanza,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,20:00,21:00,Asociacion De Basquetbol De Ultima Esperanza,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,20:00,21:00,Asociacion De Basquetbol De Ultima Esperanza,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,20:00,21:00,Newcom,Profesor: Raul Lorca,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,21:00,22:00,Club Bories Basquetbol,Monitor: Daniel Ortega,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,21:00,22:00,Newcom Club Natales,Monitora:Eva Contreras,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,21:00,22:00,Club De Basquetbol Senior,Profesor:Manuel Cardenas,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,21:00,22:00,Asociacion De Basquetbol De Ultima Esperanza,,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,21:00,22:00,Club Bories Basquetbol,Monitor: Daniel Ortega Adultos,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,22:00,23:00,Club Esmeralda Basquetbol,Monitor: Nicolas Chacon Adultos Varones,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,22:00,23:00,Club Esmeralda Basquetbol,Monitor: Jorge Alarcon Adultas Damas Y Senior,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,22:00,23:00,Club Esmeralda Basquetbol,Monitor: Nicolas Chacon Adultos Varones,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,22:00,23:00,Club Esmeralda Basquetbol,Monitor:Cristian Velasquez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,22:00,23:00,Club Bories Basquetbol,Monitor: Daniel Ortega Adultos,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,10:00,11:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,10:00,11:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,11:00,12:00,Horario De Ingreso 11:30 Escuela Nicolas Mladinic,Profesora : Sandra Astete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,11:00,12:00,Horario De Ingreso 11:30 Escuela Nicolas Mladinic,Profesora : Sandra Astete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,11:00,12:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,11:00,12:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,12:00,13:00,Escuela Nicolas Mladinic,Profesora : Sandra Astete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,12:00,13:00,Escuela Nicolas Mladinic,Profesora : Sandra Astete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,12:00,13:00,Escuela Nicolas Mladinic,Profesora : Sandra Astete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,12:00,13:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,12:00,13:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,13:00,14:00,Escuela Nicolas Mladinic,Profesora: Sandra Astete (13:45 A 14:30),,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,13:00,14:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,13:00,14:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,14:00,15:00,Cesfam Taller De Artrosis,,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,14:00,15:00,Cesfam Taller De Artrosis,,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,14:00,15:00,Escuela Nicolas Mladinic,Profesora: Sandra Astete (13:45 A 14:30),,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,14:00,15:00,Arqueria,Monitor: Bastian Salinas,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,15:00,16:00,Cesfam Taller De Artrosis,,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,15:00,16:00,Folckor,Monitor: Santiago Diaz,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,16:00,17:00,Taller Tenis De Mesa,Monitor :Luis Vasquez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,16:00,17:00,Taller Tenis De Mesa,Monitor :Luis Vasquez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,16:00,17:00,Taller Tenis De Mesa,Monitor :Luis Vasquez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,16:00,17:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,16:00,17:00,Folckor,Monitor: Santiago Diaz,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,17:00,18:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,17:00,18:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,17:00,18:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,17:00,18:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,17:00,18:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,17:00,18:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,17:00,18:00,Folckor,Monitor: Santiago Diaz,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,18:00,19:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,18:00,19:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,18:00,19:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,18:00,19:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,18:00,19:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,18:00,19:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,18:00,19:00,Folclor,Monitora:Bernardita Poblete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,19:00,20:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,19:00,20:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,19:00,20:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,19:00,20:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,19:00,20:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,19:00,20:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,19:00,20:00,Folclor,Monitora:Bernardita Poblete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,20:00,21:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,20:00,21:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,20:00,21:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,20:00,21:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,20:00,21:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Sábado,20:00,21:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Domingo,20:00,21:00,Folclor,Monitora:Bernardita Poblete,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,21:00,22:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,21:00,22:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,21:00,22:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,21:00,22:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,21:00,22:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Lunes,22:00,23:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Martes,22:00,23:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Miércoles,22:00,23:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Jueves,22:00,23:00,Tenis De Mesa Asociacion De Tenis De Mesa Natales Patagonia,Profesor: Fabian Lopez,,
Programas O Proyectos Deportivos Sala De Uso Múltiple Ii 2025,Viernes,22:00,23:00,Asociacion De Tenis De Mesa Puerto Natales,Monitor:Omar Oyarzo,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Lunes,16:00,17:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Miércoles,16:00,17:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Viernes,16:00,17:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Lunes,17:00,18:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Martes,17:00,18:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Miércoles,17:00,18:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Jueves,17:00,18:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Viernes,17:00,18:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Lunes,18:00,19:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Martes,18:00,19:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Miércoles,18:00,19:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Jueves,18:00,19:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Viernes,18:00,19:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Lunes,19:00,20:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Martes,19:00,20:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Miércoles,19:00,20:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Jueves,19:00,20:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Viernes,19:00,20:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Martes,20:00,21:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Jueves,20:00,21:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Martes,21:00,22:00,Judo,Monitor : Mesa,,
Programas O Proyectos Culturales Sala De Uso Múltiple Iii 2025,Jueves,21:00,22:00,Judo,Monitor : Mesa,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Lunes,08:00,09:00,Acondicionamiento Fisico Ejercito,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Martes,08:00,09:00,Acondicionamiento Fisico Ejercito,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Miércoles,08:00,09:00,Acondicionamiento Fisico Ejercito,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Jueves,08:00,09:00,Acondicionamiento Fisico Ejercito,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Sábado,09:00,10:00,Club De Tenis Ultima Esperanza,Monitor:Luis Bahamonde,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Domingo,09:00,10:00,Club De Tenis Ultima Esperanza,Monitor:Luis Bahamonde,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Lunes,10:00,11:00,Cesfam Elige Vida Sana,,,
Programas O Proyectos Deportivos Gimnasio Jose Miguel Carrera 2025,Martes,10:00,11:00,Cesfam Elige Vida Sana,,,
